"","GO_Term_Description","Onto","FDR","sample_type"
"1","GO:0009800_cinnamic acid biosynthetic process","GO Biological Process",NA,"pan1"
"2","GO:0009803_cinnamic acid metabolic process","GO Biological Process",NA,"pan1"
"3","GO:0006559_L-phenylalanine catabolic process","GO Biological Process",NA,"pan1"
"4","GO:0009698_phenylpropanoid metabolic process","GO Biological Process",0.0031,"pan1"
"5","GO:0006558_L-phenylalanine metabolic process","GO Biological Process",NA,"pan1"
"6","GO:0019748_secondary metabolic process","GO Biological Process",0.0082,"pan1"
"7","GO:2001141_regulation of RNA biosynthetic process","GO Biological Process",NA,"pan1"
"8","GO:0019438_aromatic compound biosynthetic process","GO Biological Process",NA,"pan1"
"9","GO:0006355_regulation of transcription, DNA-templated","GO Biological Process",NA,"pan1"
"10","GO:1903506_regulation of nucleic acid-templated transcription","GO Biological Process",NA,"pan1"
"11","GO:0051252_regulation of RNA metabolic process","GO Biological Process",NA,"pan1"
"12","GO:0009699_phenylpropanoid biosynthetic process","GO Biological Process",NA,"pan1"
"13","GO:1901362_organic cyclic compound biosynthetic process","GO Biological Process",NA,"pan1"
"14","GO:0019219_regulation of nucleobase-containing compound metabolic process","GO Biological Process",NA,"pan1"
"15","GO:2000112_regulation of cellular macromolecule biosynthetic process","GO Biological Process",NA,"pan1"
"16","GO:0080090_regulation of primary metabolic process","GO Biological Process",NA,"pan1"
"17","GO:0009889_regulation of biosynthetic process","GO Biological Process",NA,"pan1"
"18","GO:0010556_regulation of macromolecule biosynthetic process","GO Biological Process",NA,"pan1"
"19","GO:0031326_regulation of cellular biosynthetic process","GO Biological Process",NA,"pan1"
"20","GO:0031323_regulation of cellular metabolic process","GO Biological Process",NA,"pan1"
"21","GO:0051171_regulation of nitrogen compound metabolic process","GO Biological Process",NA,"pan1"
"22","GO:0050794_regulation of cellular process","GO Biological Process",NA,"pan1"
"23","GO:0060255_regulation of macromolecule metabolic process","GO Biological Process",NA,"pan1"
"24","GO:0009690_cytokinin metabolic process","GO Biological Process",NA,"pan1"
"25","GO:0044550_secondary metabolite biosynthetic process","GO Biological Process",NA,"pan1"
"26","GO:0009063_cellular amino acid catabolic process","GO Biological Process",NA,"pan1"
"27","GO:0010468_regulation of gene expression","GO Biological Process",NA,"pan1"
"28","GO:0006351_transcription, DNA-templated","GO Biological Process",NA,"pan1"
"29","GO:0032774_RNA biosynthetic process","GO Biological Process",NA,"pan1"
"30","GO:0019222_regulation of metabolic process","GO Biological Process",NA,"pan1"
"31","GO:0034754_cellular hormone metabolic process","GO Biological Process",NA,"pan1"
"32","GO:0097659_nucleic acid-templated transcription","GO Biological Process",NA,"pan1"
"33","GO:0050789_regulation of biological process","GO Biological Process",NA,"pan1"
"34","GO:0030244_cellulose biosynthetic process","GO Biological Process",NA,"pan1"
"35","GO:0034654_nucleobase-containing compound biosynthetic process","GO Biological Process",NA,"pan1"
"36","GO:0018130_heterocycle biosynthetic process","GO Biological Process",NA,"pan1"
"37","GO:0016054_organic acid catabolic process","GO Biological Process",NA,"pan1"
"38","GO:0042445_hormone metabolic process","GO Biological Process",NA,"pan1"
"39","GO:0030243_cellulose metabolic process","GO Biological Process",NA,"pan1"
"40","GO:0006855_drug transmembrane transport","GO Biological Process",NA,"pan1"
"41","GO:0042493_response to drug","GO Biological Process",NA,"pan1"
"42","GO:0015893_drug transport","GO Biological Process",NA,"pan1"
"43","GO:0046395_carboxylic acid catabolic process","GO Biological Process",NA,"pan1"
"44","GO:1901565_organonitrogen compound catabolic process","GO Biological Process",NA,"pan1"
"70","GO:0046274_lignin catabolic process","GO Biological Process",0.0082,"pan1"
"71","GO:0046271_phenylpropanoid catabolic process","GO Biological Process",0.0082,"pan1"
"72","GO:0044262_cellular carbohydrate metabolic process","GO Biological Process",0.036,"pan1"
"80","GO:0009765_photosynthesis, light harvesting","GO Biological Process",NA,"pan1"
"81","GO:0055114_oxidation-reduction process","GO Biological Process",NA,"pan1"
"82","GO:0072330_monocarboxylic acid biosynthetic process","GO Biological Process",NA,"pan1"
"83","GO:0010817_regulation of hormone levels","GO Biological Process",NA,"pan1"
