"","GO_Term_Description","GO_Term","Onto","Description","FDR","sample_type"
"78","GO:0048046_apoplast","GO:0048046","GO Cellular Component","apoplast",0.0037,"pan1"
"79","GO:0005576_extracellular region","GO:0005576","GO Cellular Component","extracellular region",0.0095,"pan1"
"323","GO:0009523_photosystem II","GO:0009523","GO Cellular Component","photosystem II",0.011,"b73"
"324","GO:0009521_photosystem","GO:0009521","GO Cellular Component","photosystem",0.011,"b73"
"294","GO:0048046_apoplast","GO:0048046","GO Cellular Component","apoplast",NA,"b73"
"295","GO:0005576_extracellular region","GO:0005576","GO Cellular Component","extracellular region",NA,"b73"
"186","GO:0048046_apoplast","GO:0048046","GO Cellular Component","apoplast",NA,"het"
"187","GO:0005576_extracellular region","GO:0005576","GO Cellular Component","extracellular region",NA,"het"
"215","GO:0009523_photosystem II","GO:0009523","GO Cellular Component","photosystem II",NA,"het"
"216","GO:0009521_photosystem","GO:0009521","GO Cellular Component","photosystem",NA,"het"
"107","GO:0009523_photosystem II","GO:0009523","GO Cellular Component","photosystem II",NA,"pan1"
"108","GO:0009521_photosystem","GO:0009521","GO Cellular Component","photosystem",NA,"pan1"
